ESSRenyi,AvgDiscRet,AvgEpLen,MaxNormIw,BatchSize,VarRet,MaxVanillaIw,MinNormIw,VarDiscRet,VanillaAvgRet,AvgRet,IterType,AvgNormIw,eRenyi2,VarJ,VarNormIw,Bound,VarVanillaIw,AvgVanillaIw,J,Delta,EpsThisIter,MinVanillaIw,ESSClassic
500.0,-8.15545932495416,200.0,0.01,500,43.53495937816032,1.0,0.01,43.53495937816032,-8.15545932495416,-8.15545932495416,2,0.009999998,1.0,6.565029,3.5044917e-18,-8.923599,,1.0,-8.155459,0.9,100,1.0,100.0
500.0,-7.925842321988816,200.0,0.005,500,53.60235105929229,1.0,0.005,53.60235105929229,-7.925842321988816,-7.925842321988816,2,0.0049999994,1.0,6.935139,2.179301e-19,-8.591457,,1.0,-8.04065,0.9,100,1.0,200.00000010221265
500.0,-8.299906183761463,200.0,0.0033333334,500,53.91117610693032,1.0,0.0033333334,53.91117610693032,-8.299906183761463,-8.299906183761463,2,0.0033333336,1.0,7.0618496,5.4391416e-20,-8.576801,,1.0,-8.127069,0.9,100,1.0,299.999969473632
500.0,-8.121653085507393,200.0,0.0025,500,53.72228671467681,1.0,0.0025,53.72228671467681,-8.121653085507393,-8.121653085507393,2,0.0024999997,1.0,7.1202927,5.434597e-20,-8.515195,,1.0,-8.125715,0.9,100,1.0,400.0
485.7678258311541,-8.029105706733327,200.0,0.0028225915,500,52.23116568843125,1.5077462,0.0016832681,52.23116568843125,-8.029105706733327,-8.029105706733327,1,0.002,1.0292983,7.2190714,2.6106306e-07,-8.446453,0.07449136,1.0683419,-8.093026,0.9,100,0.8991528,469.42396826727014
500.0,-8.069831183676596,200.0,0.01,500,58.29020811809418,1.0,0.01,58.29020811809418,-8.069831183676596,-8.069831183676596,2,0.009999998,1.0,7.596532,3.5044917e-18,-8.849713,,1.0,-8.069831,0.9,100,1.0,100.0
500.0,-9.58766863243748,200.0,0.005,500,52.30079770017251,1.0,0.005,52.30079770017251,-9.58766863243748,-9.58766863243748,2,0.0049999994,1.0,7.437641,2.179301e-19,-9.381801,,1.0,-8.828751,0.9,100,1.0,200.00000010221265
500.0,-7.266329396668083,200.0,0.0033333334,500,45.08610770890931,1.0,0.0033333334,45.08610770890931,-7.266329396668083,-7.266329396668083,2,0.0033333336,1.0,7.231867,5.4391416e-20,-8.759507,,1.0,-8.307943,0.9,100,1.0,299.999969473632
500.0,-7.749095861362496,200.0,0.0025,500,52.244782739100664,1.0,0.0025,52.244782739100664,-7.749095861362496,-7.749095861362496,2,0.0024999997,1.0,7.2259297,5.434597e-20,-8.55995,,1.0,-8.168231,0.9,100,1.0,400.0
408.1192524816941,-7.9256015767039605,200.0,0.0028499537,500,48.53438207163209,1.538848,1.8581671e-08,48.53438207163209,-7.9256015767039605,-7.9256015767039605,1,0.002,1.2251321,8.455043,1.581487e-06,-8.305239,0.46108556,1.0799109,-7.917436,0.9,100,1.00332745e-05,358.53060956991754
500.0,-8.32517389405236,200.0,0.01,500,53.19657624695959,1.0,0.01,53.19657624695959,-8.32517389405236,-8.32517389405236,2,0.009999998,1.0,7.2570386,3.5044917e-18,-9.102435,,1.0,-8.325174,0.9,100,1.0,100.0
