BatchSize,AvgEpLen,AvgNormIw,Delta,VarJ,ESSClassic,VarRet,MaxVanillaIw,AvgRet,VarVanillaIw,ESSRenyi,MinVanillaIw,AvgVanillaIw,J,AvgDiscRet,VarNormIw,eRenyi2,EpsThisIter,MinNormIw,VanillaAvgRet,Bound,IterType,VarDiscRet,MaxNormIw
500,200.0,0.009999998,0.9,6.707285,100.0,45.44209240311435,1.0,-7.131918815538719,,500.0,1.0,1.0,-7.131919,-7.131918815538719,3.5044917e-18,1.0,100,0.01,-7.131918815538719,-7.9279513,2,45.44209240311435,0.01
500,200.0,0.0049999994,0.9,7.2728653,200.00000010221265,60.50364862872097,1.0,-8.475693434641729,,500.0,1.0,1.0,-7.803806,-8.475693434641729,2.179301e-19,1.0,100,0.005,-8.475693434641729,-8.366686,2,60.50364862872097,0.005
500,200.0,0.0033333336,0.9,7.1880527,299.999969473632,49.62692109083989,1.0,-7.447778719473628,,500.0,1.0,1.0,-7.6851306,-7.447778719473628,5.4391416e-20,1.0,100,0.0033333334,-7.447778719473628,-8.14472,2,49.62692109083989,0.0033333334
500,200.0,0.0024999997,0.9,7.04523,400.0,43.96887975698488,1.0,-7.58461337677797,,500.0,1.0,1.0,-7.660001,-7.58461337677797,5.434597e-20,1.0,100,0.0025,-7.58461337677797,-8.058017,2,43.96887975698488,0.0025
500,200.0,0.0020000006,0.9,7.0577064,499.37457565153505,51.159750908534676,1.0148492,-7.518986141993522,0.0012418141,499.7883143566955,0.9328824,0.9948492,-7.631627,-7.518986141993522,5.0188254e-09,1.0004236,100,0.0018754249,-7.518986141993522,-7.987699,1,51.159750908534676,0.0020402072
500,200.0,0.009999998,0.9,6.707367,100.0,45.44320280204772,1.0,-7.992722401701981,,500.0,1.0,1.0,-7.9927225,-7.992722401701981,3.5044917e-18,1.0,100,0.01,-7.992722401701981,-8.731429,2,45.44320280204772,0.01
500,200.0,0.0049999994,0.9,7.050768,200.00000010221265,54.9431579602065,1.0,-7.695532767294911,,500.0,1.0,1.0,-7.8441277,-7.695532767294911,2.179301e-19,1.0,100,0.005,-7.695532767294911,-8.404372,2,54.9431579602065,0.005
500,200.0,0.0033333336,0.9,7.0744557,299.999969473632,50.63821282308511,1.0,-8.781105404069656,,500.0,1.0,1.0,-8.156453,-8.781105404069656,5.4391416e-20,1.0,100,0.0033333334,-8.781105404069656,-8.613891,2,50.63821282308511,0.0033333334
500,200.0,0.0024999997,0.9,7.1261754,400.0,53.09381961123799,1.0,-7.405575923028021,,500.0,1.0,1.0,-7.9687347,-7.405575923028021,5.434597e-20,1.0,100,0.0025,-7.405575923028021,-8.367518,2,53.09381961123799,0.0025
500,200.0,0.0019999999,0.9,7.7635016,394.64757193512446,48.769385296795164,2.1956227,-9.174089411225397,0.3407361,425.73727194661717,0.8099359,1.1286438,-8.087254,-9.174089411225397,1.069952e-06,1.1744332,100,0.0014352375,-9.174089411225397,-8.473795,1,48.769385296795164,0.0038907274
500,200.0,0.009999998,0.9,7.354061,100.0,54.62849885039383,1.0,-8.797682573063872,,500.0,1.0,1.0,-8.797682,-8.797682573063872,3.5044917e-18,1.0,100,0.01,-8.797682573063872,-9.594523,2,54.62849885039383,0.01
500,200.0,0.0049999994,0.9,7.3439345,200.00000010221265,54.08588795695764,1.0,-8.105560024505916,,500.0,1.0,1.0,-8.451622,-8.105560024505916,2.179301e-19,1.0,100,0.005,-8.105560024505916,-9.015074,2,54.08588795695764,0.005
500,200.0,0.0033333336,0.9,7.2938695,299.999969473632,51.85893733173424,1.0,-7.682360650379873,,500.0,1.0,1.0,-8.195201,-7.682360650379873,5.4391416e-20,1.0,100,0.0033333334,-7.682360650379873,-8.655257,2,51.85893733173424,0.0033333334
500,200.0,0.0024999997,0.9,7.2442493,400.0,50.610359887639845,1.0,-8.725290801072083,,500.0,1.0,1.0,-8.3277235,-8.725290801072083,5.434597e-20,1.0,100,0.0025,-8.725290801072083,-8.726144,2,50.610359887639845,0.0025
