MinNormIw,Bound,EpsThisIter,VarVanillaIw,VanillaAvgRet,AvgEpLen,MaxVanillaIw,J,ESSRenyi,BatchSize,VarJ,MinVanillaIw,AvgRet,MaxNormIw,eRenyi2,VarNormIw,VarDiscRet,IterType,Delta,AvgNormIw,VarRet,AvgVanillaIw,ESSClassic,AvgDiscRet
0.0033333334,-8.411783,100,,-7.902932531871861,200.0,1.0,-7.9671097,500.0,500,6.8437085,1.0,-7.902932531871861,0.0033333334,1.0,5.4391416e-20,49.412774785657795,2,0.9,0.0033333336,49.412774785657795,1.0,299.999969473632,-7.902932531871861
0.0025,-8.295718,100,,-7.740732590013231,200.0,1.0,-7.9105153,500.0,500,6.822922,1.0,-7.740732590013231,0.0025,1.0,5.434597e-20,46.12284738726465,2,0.9,0.0024999997,46.12284738726465,1.0,400.0,-7.740732590013231
0.0009247176,-7.532412,100,5.055996,-7.624721851088419,200.0,7.4637747,-7.0706654,282.157255412987,500,11.015052,0.7401197,-7.624721851088419,0.009325361,1.7720615,7.892615e-06,52.53573947862427,1,0.9,0.002,52.53573947862427,1.6007476,168.3950873724192,-7.624721851088419
0.01,-8.977318,100,,-8.209632063830247,200.0,1.0,-8.209632,500.0,500,7.544301,1.0,-8.209632063830247,0.01,1.0,3.5044917e-18,57.491395469234334,2,0.9,0.009999998,57.491395469234334,1.0,100.0,-8.209632063830247
0.005,-8.423743,100,,-7.552182778074694,200.0,1.0,-7.880907,500.0,500,7.111216,1.0,-7.552182778074694,0.005,1.0,2.179301e-19,44.4507044424484,2,0.9,0.0049999994,44.4507044424484,1.0,200.00000010221265,-7.552182778074694
0.0033333334,-8.159472,100,,-7.386932097943662,200.0,1.0,-7.716249,500.0,500,6.8762584,1.0,-7.386932097943662,0.0033333334,1.0,5.4391416e-20,40.9568878139614,2,0.9,0.0033333336,40.9568878139614,1.0,299.999969473632,-7.386932097943662
0.0025,-8.111241,100,,-7.760847104188791,200.0,1.0,-7.7273984,500.0,500,6.892219,1.0,-7.760847104188791,0.0025,1.0,5.434597e-20,48.646934998274624,2,0.9,0.0024999997,48.646934998274624,1.0,400.0,-7.760847104188791
0.001315246,-8.177989,100,0.034529783,-8.276017927454067,200.0,1.0885229,-7.8325467,493.8751672036022,500,7.0184417,0.64874077,-8.276017927454067,0.0022068527,1.0124016,1.4192707e-07,49.79853843891239,1,0.9,0.0019999999,49.79853843891239,0.98649347,482.9001540569462,-8.276017927454067
0.01,-7.857288,100,,-7.126577921599768,200.0,1.0,-7.1265783,500.0,500,6.7075024,1.0,-7.126577921599768,0.01,1.0,3.5044917e-18,45.44504127482814,2,0.9,0.009999998,45.44504127482814,1.0,100.0,-7.126577921599768
0.005,-8.075397,100,,-7.982169691407305,200.0,1.0,-7.5543737,500.0,500,6.666292,1.0,-7.982169691407305,0.005,1.0,2.179301e-19,43.96190879046543,2,0.9,0.0049999994,43.96190879046543,1.0,200.00000010221265,-7.982169691407305
