Delta,J,VarRet,AvgNormIw,Bound,MaxVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,MinVanillaIw,EpsThisIter,MinNormIw,MaxNormIw,VarNormIw,ESSRenyi,eRenyi2,AvgDiscRet,BatchSize,ESSClassic,VarVanillaIw,AvgRet,AvgEpLen,VanillaAvgRet,IterType
0.9,-7.043952,47.986928700139956,0.0049999994,-7.59022,1.0,7.0286064,47.986928700139956,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-6.843347768276332,500,200.00000010221265,,-6.843347768276332,200.0,-6.843347768276332,2
0.9,-6.944068,46.73530538763205,0.0033333336,-7.390094,1.0,6.9553437,46.73530538763205,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-6.7443004995106755,500,299.999969473632,,-6.7443004995106755,200.0,-6.7443004995106755,2
0.9,-7.4211473,50.48963482009197,0.0024999997,-7.8074174,1.0,7.032895,50.48963482009197,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-8.852387206781673,500,400.0,,-8.852387206781673,200.0,-8.852387206781673,2
0.9,-7.3946996,47.1021304736643,0.0019999999,-7.7804193,2.7223341,7.915158,47.1021304736643,0.99396586,0.1343674,100,0.00027036623,0.0054777213,1.0658041e-06,401.1415926232787,1.2464427,-7.664152918473496,500,394.9702758653518,0.2632451,-7.664152918473496,200.0,-7.664152918473496,1
0.9,-7.6610804,50.815178992686484,0.009999998,-8.43241,1.0,7.092745,50.815178992686484,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.661080841069699,500,100.0,,-7.661080841069699,200.0,-7.661080841069699,2
0.9,-7.6161695,36.03745168875164,0.0049999994,-8.161582,1.0,6.5569863,36.03745168875164,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.5712580870287205,500,200.00000010221265,,-7.5712580870287205,200.0,-7.5712580870287205,2
0.9,-7.30299,47.86199195412369,0.0033333336,-7.748432,1.0,6.6823153,47.86199195412369,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-6.676632244803338,500,299.999969473632,,-6.676632244803338,200.0,-6.676632244803338,2
0.9,-7.2317667,41.401353643496776,0.0024999997,-7.6175313,1.0,6.6145334,41.401353643496776,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-7.01809429719045,500,400.0,,-7.01809429719045,200.0,-7.01809429719045,2
0.9,-7.1466312,54.735314842242126,0.0020000003,-7.5916276,2.5653987,8.377191,54.735314842242126,1.0209358,0.00012146639,100,2.3795111e-07,0.0050255833,2.5316508e-06,300.6018768696669,1.6633296,-8.002193641049823,500,306.43885239120425,0.6596911,-8.002193641049823,200.0,-8.002193641049823,1
0.9,-5.7663894,36.621710555306656,0.009999998,-6.4813356,1.0,6.0212536,36.621710555306656,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-5.766388998782835,500,100.0,,-5.766388998782835,200.0,-5.766388998782835,2
0.9,-7.204912,49.542237526873485,0.0049999994,-7.7522297,1.0,6.6873393,49.542237526873485,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-8.643435767923698,500,200.00000010221265,,-8.643435767923698,200.0,-8.643435767923698,2
0.9,-7.4205523,50.767589338928204,0.0033333336,-7.867435,1.0,6.830811,50.767589338928204,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-7.851833186814875,500,299.999969473632,,-7.851833186814875,200.0,-7.851833186814875,2
0.9,-7.4784737,47.35657937700912,0.0024999997,-7.8654857,1.0,6.835627,47.35657937700912,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-7.65223772036454,500,400.0,,-7.65223772036454,200.0,-7.65223772036454,2
0.9,-2.2691877,50.27812801431426,0.0019999999,-5.8155107,188.34431,38.27916,50.27812801431426,0.81001747,,100,,0.46503767,0.0006180685,4.763781190260562,104.95864,-9.219426194611893,500,3.221481095111439,101.38308,-9.219426194611893,200.0,-9.219426194611893,1
0.9,-7.409721,45.22050175096664,0.009999998,-8.182627,1.0,6.6909113,45.22050175096664,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.409720712461199,500,100.0,,-7.409720712461199,200.0,-7.409720712461199,2
0.9,-7.3546333,46.23304912468829,0.0049999994,-7.9011602,1.0,6.7284875,46.23304912468829,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.29954685320653,500,200.00000010221265,,-7.29954685320653,200.0,-7.29954685320653,2
0.9,-7.196166,39.55633732352419,0.0033333336,-7.6436996,1.0,6.5791726,39.55633732352419,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-6.879230885470107,500,299.999969473632,,-6.879230885470107,200.0,-6.879230885470107,2
0.9,-7.485322,50.62365062717627,0.0024999997,-7.873251,1.0,6.72639,50.62365062717627,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-8.352790391914711,500,400.0,,-8.352790391914711,200.0,-8.352790391914711,2
